NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
2883,0.5226613488,2633,0.4773386512,65838.3623672,16,27,20
2392,0.4519176271,2901,0.5480823729,54698.7032154,16,27,20
2272,0.4569589702,2700,0.5430410298,51943.022254,16,8,20
954,0.4604247104,1118,0.5395752896,29611.8657291,16,8,20
1020,0.4569892473,1212,0.5430107527,23345.5928213,16,8,20
700,0.7299270073,259,0.2700729927,16035.8212757,16,11,20
566,0.6092572659,363,0.3907427341,12963.2070516,16,11,20
623,0.6684549356,309,0.3315450644,14284.662835,16,11,20
647,0.6697722567,319,0.3302277433,14791.8729746,16,11,20
694,0.7206645898,269,0.2793354102,15873.4860291,16,11,20
892,0.663197026,453,0.336802974,20425.0423843,16,11,20
1071,0.685659411,491,0.314340589,24529.2744064,16,11,20
1062,0.6918566775,473,0.3081433225,24328.5871207,16,11,20
1154,0.728995578,429,0.271004422,26412.5144966,16,14,20
1021,0.6470215463,557,0.3529784537,23342.3528703,16,14,20
981,0.6382563435,556,0.3617436565,22437.8815483,16,14,20
1187,0.6409287257,665,0.3590712743,27155.6731564,16,14,20
1248,0.6767895879,596,0.3232104121,28557.5845501,16,14,20
1286,0.6996735582,552,0.3003264418,29427.1263873,16,14,20
1343,0.7102062401,548,0.2897937599,30717.7114367,16,17,20
1266,0.6910480349,566,0.3089519651,28943.6030693,16,17,20
1652,0.6647887324,833,0.3352112676,37776.8635919,16,17,20
1744,0.6956521739,763,0.3043478261,39871.7565189,16,17,20
1746,0.7191103789,682,0.2808896211,39917.4810103,16,17,20
1628,0.6567164179,851,0.3432835821,37228.0471717,16,20,20
1495,0.6597528685,771,0.3402471315,34194.3250915,16,20,20
1826,0.559607723,1437,0.440392277,41765.108774,16,20,20
1894,0.572378362,1415,0.427621638,43388.2711927,16,20,20
1937,0.5799401198,1403,0.4200598802,44284.169941,16,20,20
1910,0.5727136432,1425,0.4272863568,43705.9186624,16,23,20
1811,0.5499544488,1482,0.4500455512,41403.5269815,16,23,20
1887,0.5189768977,1749,0.4810231023,43141.0576555,16,23,20
1624,0.553133515,1312,0.446866485,37128.2870337,16,23,20
825,0.5298651252,732,0.4701348748,18865.5644451,16,23,20
1566,0.5285183935,1397,0.4714816065,35834.2767672,16,5,20
2105,0.5194965449,1947,0.4805034551,48135.7735236,16,5,20
915,0.5482324745,754,0.4517675255,20937.6521341,16,5,20
251,0.774691358,73,0.225308642,5752.55048837,16,5,20
119,0.4296028881,158,0.5703971119,2827.93971165,16,5,20
233,0.693452381,103,0.306547619,5345.99914487,16,5,20
234,0.829787234,48,0.170212766,5387.05780083,16,5,20
2349,0.2165575735,8498,0.7834424265,53667.4714122,8,28,20
1976,0.1857142857,8664,0.8142857143,45206.0742688,8,28,20
2085,0.195572648,8576,0.804427352,47667.7823062,8,28,20
2036,0.1905831695,8647,0.8094168305,46557.9263155,8,28,20
2052,0.1920089829,8635,0.8079910171,46923.8039289,8,28,20
988,0.3808789514,1606,0.6191210486,22613.1406608,8,6,20
927,0.7158301158,368,0.2841698842,21193.3017735,8,6,20
